"","text","emotion","polarity","stringAsFactors"
"25","ulricawashienkolorajeinrt daenerys retweet if you hate olly gameofthrones <U+2026>","anger","negative",FALSE
"26","ulricawashienkopntbaif bmc ever sponsored indian version of gameofthronesthey wi<U+2026>","unkown","neutral",FALSE
"27","ulricawashienkolilhgot those game of thrones type of feels gameofthrones danyxdro<U+2026>","unkown","neutral",FALSE
"28","ulricawashienkonevsasaurehpgameofthrones hi uhmhh i just finished seasonand y<U+2026>","unkown","neutral",FALSE
"29","ulricawashienkonevsasaurehpim a little behind on gameofthrones but im confident n<U+2026>","joy","positive",FALSE
"30","caught up on gameofthrones oh my god my heart valarmorghulis","joy","neutral",FALSE
"31","ulricawashienkonevsasaurehprt ew gameofthrones producers on their hope for the sho<U+2026>","unkown","positive",FALSE
"32","ulricawashienkonevsasaurehprt gameofthrones take it up with the iron bank
purchase<U+2026>","unkown","neutral",FALSE
"33","ulricawashienkonevsasaurehphere starts the walk of shame gameofthrones cersei quee<U+2026>","joy","negative",FALSE
"34","ulricawashienkonevsasaurehprt vanityfair gameofthrones struggles to keep the jon s<U+2026>","unkown","negative",FALSE
"35","idkjadert woodleyftdobrev im jon snow af gameofthronesdwnl<U+2026>","unkown","neutral",FALSE
"36","weightlossmallsgameofthrones thinspiration tips and tricks for beginners <U+2026>","unkown","neutral",FALSE
"37","lorajeinrt daenerys retweet if you hate olly gameofthrones<U+2026>","anger","negative",FALSE
"38","nalexbailemoh my days i am not waiting a year for new episodes gameofthrones dwnlod nw","unkown","neutral",FALSE
"39","you do not steal from the dragon oh no the dragon remembers gameofthrones","unkown","negative",FALSE
"40","olly must die gameofthrones","unkown","negative",FALSE
"41","weightlossmallsgameofthrones thinspiration tips and tricks for beginners <U+2026>","unkown","neutral",FALSE
"42","lorajeinrt daenerys retweet if you hate olly gameofthrones<U+2026>","anger","negative",FALSE
"43","nalexbailemoh my days i am not waiting a year for new episodes gameofthrones download<U+2026>","unkown","neutral",FALSE
"44","pntbaif bmc ever sponsored indian version of gameofthronesthey will change the whol<U+2026>","unkown","neutral",FALSE
"45","lilhgot those game of thrones type of feels gameofthrones danyxdrogofeels download n<U+2026>","joy","neutral",FALSE
"46","suzilehrmanvzfs itemsoff bigbangtheory nascar gameofthrones oitnb <U+2026>","unkown","neutral",FALSE
"47","blackwarninjart jesanchez just seeing the last episode of gameofthrones and i cant <U+2026>","unkown","neutral",FALSE
"48","nevsasaurehpgameofthrones hi uhmhh i just finished seasonand yea best show on<U+2026>","unkown","positive",FALSE
"49","nevsasaurehpim a little behind on gameofthrones but im confident ned stark has the t<U+2026>","unkown","neutral",FALSE
"50","nevsasaurehprt mihneaboiangiu here starts the walk of shame gameofthrones cersei que<U+2026>","joy","negative",FALSE
"51","nevsasaurehprt zapit gameofthrones maisie williams sophie turner cant believe how <U+2026>","unkown","neutral",FALSE
"52","nevsasaurehprt ew gameofthrones producers on their hope for the shows legacy <U+2026> <U+2026>","unkown","positive",FALSE
"53","nevsasaurehprt gameofthrones take it up with the iron bank
purchase gameofthrones mo<U+2026>","unkown","neutral",FALSE
"54","nevsasaurehphere starts the walk of shame gameofthrones cersei queencersei <U+2026>","joy","negative",FALSE
"55","nevsasaurehpi am confused now i expected tyrionwatch her<U+2026>","unkown","negative",FALSE
"56","nevsasaurehprt vanityfair gameofthrones struggles to keep the jon snow mystery alive <U+2026>","unkown","negative",FALSE
"57","im jon snow af gameofthrones","unkown","neutral",FALSE
"58","kit harington wont be at comic con that can mean only one thing jon snow survives comiccon gameofthrones","anger","negative",FALSE
"59","gameofthrones thinspiration tips and tricks for beginnersgame of thrones","unkown","neutral",FALSE
"60","retweet if you hate olly gameofthrones","anger","negative",FALSE
"61","oh my days i am not waiting a year for new episodes gameofthrones","unkown","neutral",FALSE
"62","there was a scene with missendei and grey worm in the season trailer i don<U+2019>t remember seeing in the season give it to me gameofthrones","anger","neutral",FALSE
"63","kethsi made some game of thronesinspired god faction houses posters we think theyre awesome

got gameofthrones http<U+2026>","sadness","positive",FALSE
"64","if bmc ever sponsored indian version of gameofthronesthey will change the whole storyline to rain is coming mumbairains","unkown","neutral",FALSE
"65","got those game of thrones type of feels gameofthrones danyxdrogofeels","unkown","neutral",FALSE
"66","curtain call kit haringtongameofthrones kitharington mothersmercy jonsnow <U+2026>","unkown","neutral",FALSE
"67","gmail have introduced an undo button for all those regrettable emailsgameofthrones","unkown","negative",FALSE
"68","if you think this has a happy ending you havent been paying attention ramsay snow bastard truth gameofthrones <U+2026>","joy","neutral",FALSE
"69","suzilehrmanvzfs itemsoff bigbangtheory nascar gameofthrones oitnb <U+2026>","unkown","neutral",FALSE
"70","s itemsoff bigbangtheory nascar gameofthrones oitnb scandal empire <U+2026>","unkown","negative",FALSE
"71","here aretheories i will not let go despite little evidence syriojaqen benjen is still out there lsh is still coming gameofthrones","anger","neutral",FALSE
"72","winter is coming necklace by rocksnbeadsjewelry gameofthrones","unkown","neutral",FALSE
"73","just seeing the last episode of gameofthrones and i cant believe what happens","unkown","neutral",FALSE
"74","gameofthrones hi uhmhh i just finished seasonand yea best show on tv but i can<U+2026>","unkown","positive",FALSE
"75","rt mobilegurlie galaxy art gameofthrones periscopenew unive<U+2026>","unkown","neutral",FALSE
"76","rt mobilegurlie galaxy art gameofthrones periscopepink whit<U+2026>","unkown","neutral",FALSE
"77","im a little behind on gameofthrones but im confident ned stark has the throne taken car<U+2026>","unkown","neutral",FALSE
"78","rt mihneaboiangiu here starts the walk of shame gameofthrones cersei queencersei <U+2026>","joy","negative",FALSE
"79","rt zapit gameofthrones maisie williams sophie turner cant believe how young they used<U+2026>","unkown","neutral",FALSE
"80","rt ew gameofthrones producers on their hope for the shows legacy <U+2026>","unkown","positive",FALSE
"81","rt gameofthrones take it up with the iron bank
purchase gameofthrones monopoly at the h<U+2026>","unkown","neutral",FALSE
"82","here starts the walk of shame gameofthrones cersei queencersei <U+2026>","joy","negative",FALSE
"83","i am confused now i expected tyrionwatch here","unkown","negative",FALSE
"84","rt vanityfair gameofthrones struggles to keep the jon snow mystery alive <U+2026>","unkown","negative",FALSE
"85","rt tyrion by the way if youre asking i am named after tyrion of gameofthrones <U+2026>","unkown","neutral",FALSE
"86","rt tyrion by the way if youre asking i am named after tyrion of gameofthrones <U+2026>","unkown","neutral",FALSE
"87","gameofthrones fit weight loss resolution forgame of thro<U+2026>","anger","negative",FALSE
"88","ladystoneheart ladystoneheart 
next season please gameofthrones hbo","joy","positive",FALSE
"89","l l c gameofthrones game of thrones seasonbluraydvddigital copy tv series <U+2026>","unkown","neutral",FALSE
"90","l l gameofthrones g of thrones complete fourth se blurdigit hd new box set tv series","unkown","neutral",FALSE
"91","rt lordsnow first rule to watching gameofthrones never get attached to a character wat<U+2026>","sadness","neutral",FALSE
"92","rt omgrainman finally watching the first episode of season five gameofthrones get ittttt<U+2026>","sadness","neutral",FALSE
"93","galaxy art gameofthrones periscopepink white samsung galaxy <U+2026>","unkown","neutral",FALSE
"94","galaxy art gameofthrones periscopeunlocked sony xperia z c<U+2026>","unkown","neutral",FALSE
"95","i dont like weddings","joy","positive",FALSE
"96","rt seginerle rt vanityfair gameofthrones struggles to keep the jon snow mystery alive <U+2026>","unkown","negative",FALSE
"97","rt mobilegurlie galaxy art gameofthrones periscopewireless bluetooth headset sport<U+2026>","unkown","neutral",FALSE
"98","news game of thronesmothers mercygameofthrones","unkown","neutral",FALSE
"99","maester chain colors gold for money and accounts silver for healing iron for warcraftasoiaf gameofthrones","unkown","positive",FALSE
"100","gameofthrones hi uhmhh i just finished seasonand yea best show on tv but i cant wait a yearso like i need seasonnow","joy","positive",FALSE
"101","galaxy art gameofthrones periscopenew univers mt by mountek hands free cell ph<U+2026> http<U+2026>","unkown","positive",FALSE
"102","galaxy art gameofthrones periscopepink white samsung galaxy note rugged defender cas<U+2026> http<U+2026>","unkown","positive",FALSE
